1WBY C 0.051 79
1WBZ C 0.001 79
1WKW B 0.100 41
1WRZ B 0.049 78
1WS4 E 0.072 69
1WS4 F 0.000 69
1WS4 G 0.000 72
1WS4 H 0.002 71
1WS5 E 0.083 70
1WS5 F 0.000 69
1WS5 G 0.000 70
1WS5 H 0.002 71
1WUW A 0.212 19
1WUW B 0.346 19
1X2R B 0.086 56
1X76 C 0.397 50
1X76 D 0.324 50
1X78 C 0.425 50
1X78 D 0.326 51
1X7B C 0.385 50
1X7B D 0.313 53
1X7J C 0.462 47
1X7J D 0.310 49
1X7Q C 0.011 83
1X7R B 0.238 53
1X8S B 0.011 57
1XB0 F 0.000 59
1XB7 B 0.151 55
1XH3 C 0.003 73
1XIU C 0.170 32
1XIU D 0.001 49
1XME C 0.004 61
1XOC B 0.000 92
1XOW B 0.050 61
1XR8 C 0.000 82
1XR9 C 0.000 87
1XU2 E 0.137 32
1XU2 F 0.000 30
1XW7 C 0.459 42
1XW7 D 0.133 38
1Y2A B 0.000 56
1Y3A E 0.001 54
1Y43 B 0.145 77
1Y66 B 0.161 45
1Y66 C 0.248 29
1Y66 D 0.161 29
1YBK D 0.105 56
1YBO C 0.182 61
1YCQ B 0.118 48
1YDI B 0.194 63
1YDP C 0.008 87
1YDR B 0.218 52
1YDS B 0.227 52
1YDT B 0.204 50
1YF4 B 0.168 66
1YFN C 0.095 56
1YFN D 0.032 51
1YK0 C 0.000 72
1YMT B 0.268 46
1YN6 C 0.040 81
1YN7 C 0.037 83
1YOK B 0.404 25
1YOK C 0.113 72
1YP0 B 0.334 53
1YPH E 0.170 54
1YPH F 0.122 56
1YR5 B 0.071 76
1YTV C 0.154 55
1YTV D 0.041 58
1YU6 B 0.165 29
1YUC C 0.274 49
1YUC D 0.002 54
1YWO B 0.504 37
1YY6 B 0.004 56
1YYE C 0.405 48
1YYE D 0.297 52
1YYM D 0.194 31
1YYP B 0.103 60
1Z9O G 0.000 64
1Z9O H 0.000 74
1Z9O I 0.003 73
1ZAF C 0.459 48
1ZAF D 0.364 48
1ZDT D 0.197 49
1ZDU B 0.287 49
1ZDU C 0.263 46
1ZEG A 0.400 26
1ZEG B 0.245 38
1ZEH A 0.343 30
1ZEH B 0.273 42
1ZGX B 0.220 56
1ZGY B 0.346 44
1ZH7 B 0.288 50
1ZHK C 0.013 73
